Recipe_Name,Ingredients,Number_of_Ingredients,Amounts,Cooking_Time,Cooking_Time_Unit,Cooking_Time_Seconds,Calories,Sodium,Fat,Protein,Carbs,Fiber,Servings,Star_Rating,Number_of_Reviews,Course,Directions,avocado,banana,basil,beans,beef,bell pepper,broccoli,butter,carrot,celery,chicken breast,cilantro,cucumber,egg,eggplant,flour,garlic,garlic powder,ginger,green beans,ground beef,honey,lemon,lettuce,lime,mayonnaise,milk,mozzarella,mushroom,oil,olive oil,onion,oregano,paprika,pasta,pepper,potato,red onion,salmon,salt,scallion,shrimp,soy sauce,sugar,tomato,tomato paste,water,yogurt,zucchini,Actual_Ingredients,Number_of_Actual_Ingredients,Remove_Indices_1
Bang Bang Shrimp Pasta,"['mayonnaise', 'red pepper flakes', 'lime juice', 'garlic', 'pepper', 'salt', 'cilantro', 'sweet Thai chili sauce', 'noodles', 'Sriracha sauce', 'paprika', 'shrimp', 'butter']",13,"{'mayonnaise': '8 ounces ', 'red pepper flakes': '2 tablespoons ', 'lime juice': '10 ounces ', 'garlic': '3 cloves ', 'pepper': '0.5 teaspoon ', 'salt': '1  ', 'cilantro': '1  ', 'sweet Thai chili sauce': '1 tablespoon ', 'noodles': '1  ', 'Sriracha sauce': '0.5 cup ', 'paprika': '0.33 cup ', 'shrimp': '0.5  ', 'butter': '1 teaspoon '}",20,Minutes,1200,510,890mg,20g,24g,59g,5g,4,4,11,Main Dish,http://yummly.com/recipe/Bang-Bang-Shrimp-Pasta-2500678,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,6,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,10,-1,4,-1,-1,-1,5,-1,11,-1,-1,-1,-1,-1,-1,-1,"['mayonnaise', 'red pepper flakes', 'lime juice', 'garlic', 'cilantro', 'sweet Thai chili sauce', 'noodles', 'Sriracha sauce', 'shrimp', 'butter']",10,"[5, 4, 10]"
Greek Healthy Meal Prep,"['scallions', 'virgin olive oil', 'greek yogurt', 'dried basil', 'coconut', 'garlic clove', 'flat leaf parsley', 'crumbled feta', 'cucumber', 'dried thyme', 'hummus', 'kalamata olives', 'fresh dill', 'garlic powder', 'garlic', 'extra-virgin olive oil', 'fresh lemon juice', 'cauliflower rice', 'mint leaves', 'crushed red pepper flakes', 'dried minced onion', 'white vinegar', 'large garlic cloves', 'dried dill', 'grated lemon zest', 'mayonnaise', 'meal', 'salt', 'fresh flat leaf parsley', 'boneless, skinless chicken breasts', 'dried oregano', 'tomatoes']",32,"{'scallions': '3  ', 'virgin olive oil': '1 tablespoon ', 'greek yogurt': '1 teaspoon ', 'dried basil': '0.5 teaspoon ', 'coconut': '0.5 teaspoon ', 'garlic clove': '0.5 teaspoon ', 'flat leaf parsley': '0.5 teaspoon ', 'crumbled feta': '1 teaspoon ', 'cucumber': '0.5  ', 'dried thyme': '1 cup ', 'hummus': '2  ', 'kalamata olives': '2 tablespoons ', 'fresh dill': '1 tablespoon ', 'garlic powder': '0.5 teaspoon ', 'garlic': '1 tablespoon ', 'extra-virgin olive oil': '1 bag ', 'fresh lemon juice': '0.5  ', 'cauliflower rice': '1 cup ', 'mint leaves': '1.5 cups ', 'crushed red pepper flakes': '0.25 cup ', 'dried minced onion': '2  ', 'white vinegar': '1  ', 'large garlic cloves': '2 tablespoons ', 'dried dill': '0.25 teaspoon ', 'grated lemon zest': '2 tablespoons ', 'mayonnaise': '0.25 teaspoon ', 'meal': '1 teaspoon ', 'salt': '1  ', 'fresh flat leaf parsley': '1  ', 'boneless, skinless chicken breasts': '1  ', 'dried oregano': '1  ', 'tomatoes': '1 can '}",60,Minutes,3600,350,2190mg,23g,21g,19g,4g,5,4.5,12,Main Dish,http://yummly.com/recipe/Greek-Healthy-Meal-Prep-2151887,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,29,-1,8,-1,-1,-1,5,13,-1,-1,-1,-1,16,-1,-1,25,-1,-1,-1,-1,1,20,30,-1,-1,-1,-1,-1,-1,27,0,-1,-1,-1,31,-1,-1,2,-1,"['scallions', 'greek yogurt', 'dried basil', 'coconut', 'garlic clove', 'flat leaf parsley', 'crumbled feta', 'cucumber', 'dried thyme', 'hummus', 'kalamata olives', 'fresh dill', 'garlic', 'extra-virgin olive oil', 'fresh lemon juice', 'cauliflower rice', 'mint leaves', 'crushed red pepper flakes', 'dried minced onion', 'white vinegar', 'large garlic cloves', 'dried dill', 'grated lemon zest', 'mayonnaise', 'meal', 'fresh flat leaf parsley', 'boneless, skinless chicken breasts', 'tomatoes']",28,"[27, 13, 30, 1]"
Mediterranean Grilled Chicken Breasts,"['olive oil', 'pepper', 'salt', 'lemon juice', 'garlic clove', 'fresh parsley', 'boneless skinless chicken breast halves', 'dried oregano', 'paprika']",9,"{'olive oil': '4 pounds ', 'pepper': '3 tablespoons ', 'salt': '3 tablespoons ', 'lemon juice': '3 tablespoons ', 'garlic clove': '3  ', 'fresh parsley': '1 teaspoon ', 'boneless skinless chicken breast halves': '0.5 teaspoon ', 'dried oregano': '0.5 teaspoon ', 'paprika': '0.5 teaspoon '}",35,Minutes,2100,620,820mg,24g,96g,3g,0g,4,4.5,9,Main Dish,http://yummly.com/recipe/Mediterranean-Grilled-Chicken-Breasts-2313317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0,-1,7,8,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['lemon juice', 'garlic clove', 'fresh parsley', 'boneless skinless chicken breast halves']",4,"[2, 1, 8, 7, 0]"
Gourmet Burger with Fries,"['tomato purée', 'romaine lettuce', 'oil', 'onions', 'ground beef', 'bread', 'ketchup', 'chili powder', 'hot mustard', 'egg', 'sesame hamburger buns', 'bacon', 'tomatoes', 'parsley']",14,"{'tomato purée': '1 teaspoon ', 'romaine lettuce': '3  ', 'oil': '2 stalks ', 'onions': '1 pound ', 'ground beef': '1  ', 'bread': '1 tablespoon ', 'ketchup': '2 slices ', 'chili powder': '1 pinch ', 'hot mustard': '8 slices ', 'egg': '4  ', 'sesame hamburger buns': '6 tablespoons ', 'bacon': '1  ', 'tomatoes': '6 tablespoons ', 'parsley': '2  '}",20,Minutes,1200,670,1190mg,46g,35g,29g,6g,4,,0,Main Dish,http://yummly.com/recipe/Gourmet-Burger-with-Fries-1408175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,4,-1,-1,1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,"['tomato purée', 'romaine lettuce', 'onions', 'ground beef', 'bread', 'ketchup', 'chili powder', 'hot mustard', 'egg', 'sesame hamburger buns', 'bacon', 'tomatoes', 'parsley']",13,[2]
Honey Sriracha Chicken Meal Prep Bowls,"['olive oil', 'flour', 'Sriracha', 'eggs', 'salt', 'sesame seeds', 'honey', 'ketchup', 'jasmine rice', 'green onions', 'broccoli', 'chicken breasts']",12,"{'olive oil': '1 tablespoon ', 'flour': '3  ', 'Sriracha': '2  ', 'eggs': '2 cups ', 'salt': '1 head ', 'sesame seeds': '2 cups ', 'honey': '2  ', 'ketchup': '1 tablespoon ', 'jasmine rice': '0.5 cup ', 'green onions': '0.5 cup ', 'broccoli': '0.33 cup ', 'chicken breasts': '0.5 teaspoon '}",35,Minutes,2100,1000,1170mg,12g,41g,185g,8g,4,5,3,Main Dish,http://yummly.com/recipe/Honey-Sriracha-Chicken-Meal-Prep-Bowls-2421806,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,11,-1,-1,3,-1,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,4,9,-1,-1,-1,-1,-1,-1,-1,-1,"['flour', 'Sriracha', 'eggs', 'sesame seeds', 'honey', 'ketchup', 'jasmine rice', 'green onions', 'broccoli', 'chicken breasts']",10,"[4, 0]"
Easy Paleo Shrimp and Avocado Salad,"['lime juice', 'ground cumin', 'extra-virgin olive oil', 'sea salt', 'green onions', 'avocados', 'shrimp']",7,"{'lime juice': '1 pound ', 'ground cumin': '2  ', 'extra-virgin olive oil': '3 tablespoons ', 'sea salt': '1 teaspoon ', 'green onions': '0.5 teaspoon ', 'avocados': '3 tablespoons ', 'shrimp': '6  '}",30,Minutes,1800,310,380mg,22g,20g,10g,6g,5,4.5,7,Salad,http://yummly.com/recipe/Easy-Paleo-Shrimp-and-Avocado-Salad-2213184,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,4,6,-1,-1,-1,-1,-1,-1,-1,"['lime juice', 'ground cumin', 'green onions', 'avocados', 'shrimp']",5,"[3, 2]"
Thai Chicken Salad,"['soy sauce', 'chile pepper', 'olive oil', 'water', 'carrots', 'cabbage', 'fresh coriander', 'lemon', 'boneless skinless chicken breast', 'red bell pepper', 'green onions', 'peanut butter']",12,"{'soy sauce': '1  ', 'chile pepper': '2  ', 'olive oil': '0.5  ', 'water': '3  ', 'carrots': '1 cup ', 'cabbage': '3 tablespoons ', 'fresh coriander': '1  ', 'lemon': '1 tablespoon ', 'boneless skinless chicken breast': '1 tablespoon ', 'red bell pepper': '1  ', 'green onions': '1 tablespoon ', 'peanut butter': '1 tablespoon '}",70,Minutes,4200,310,750mg,15g,27g,21g,7g,2,,0,Salad,http://yummly.com/recipe/Thai-Chicken-Salad-497624,-1,-1,-1,-1,-1,9,-1,-1,4,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,0,-1,-1,-1,3,-1,-1,"['soy sauce', 'chile pepper', 'carrots', 'cabbage', 'fresh coriander', 'lemon', 'boneless skinless chicken breast', 'red bell pepper', 'green onions', 'peanut butter']",10,"[2, 3]"
Salmon Rillettes/Salmon Spread,"['smoked salmon', 'olive oil', 'ground white pepper', 'salt', 'fresh lemon juice', 'salmon', 'chili powder', 'unsalted butter', 'chopped chives']",9,"{'smoked salmon': '8 ounces ', 'olive oil': '1  ', 'ground white pepper': '5 tablespoons ', 'salt': '1 tablespoon ', 'fresh lemon juice': '1.5 tablespoons ', 'salmon': '2 tablespoons ', 'chili powder': '4 ounces ', 'unsalted butter': '0.25 teaspoon ', 'chopped chives': '3  '}",35,Minutes,2100,170,540mg,14g,11g,<1g,0g,6,,0,Appetiz,http://yummly.com/recipe/Salmon-Rillettes_Salmon-Spread-9073209,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['smoked salmon', 'ground white pepper', 'fresh lemon juice', 'salmon', 'chili powder', 'unsalted butter', 'chopped chives']",7,"[3, 1]"
Grilled Chicken with Edamame Skordalia,"['skinless boneless chicken breast halves', 'extra-virgin olive oil', 'frozen shelled edamame', 'fresh lemon juice', 'grated Parmesan cheese', 'fresh basil', 'garlic cloves']",7,"{'skinless boneless chicken breast halves': '16 ounces ', 'extra-virgin olive oil': '0.5 cup ', 'frozen shelled edamame': '0.33 cup ', 'fresh lemon juice': '3  ', 'grated Parmesan cheese': '6 tablespoons ', 'fresh basil': '2 tablespoons ', 'garlic cloves': '4  '}",,,,210,140mg,21g,4g,2g,0g,4,,0,,http://yummly.com/recipe/Grilled-Chicken-with-Edamame-Skordalia-2629142,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['skinless boneless chicken breast halves', 'frozen shelled edamame', 'fresh lemon juice', 'grated Parmesan cheese', 'fresh basil', 'garlic cloves']",6,[1]
Mexican King Ranch Chicken Casserole,"['corn tortillas', 'onion', 'cream of chicken soup', 'vegetable oil', 'garlic powder', 'cheddar cheese', 'olive oil', 'salt', 'chicken', 'chili powder', 'cayenne pepper', 'cream of mushroom soup', 'diced tomato', 'black pepper', 'green bell pepper', 'paprika']",16,"{'corn tortillas': '3 pounds ', 'onion': '12  ', 'cream of chicken soup': '10.75 ounces ', 'vegetable oil': '10.75 ounces ', 'garlic powder': '10 ounces ', 'cheddar cheese': '1 cup ', 'olive oil': '1 cup ', 'salt': '1 tablespoon ', 'chicken': '0.25 teaspoon ', 'chili powder': '0.25 teaspoon ', 'cayenne pepper': '0.25 teaspoon ', 'cream of mushroom soup': '2 cups ', 'diced tomato': '2 tablespoons ', 'black pepper': '3 pounds ', 'green bell pepper': '1 tablespoon ', 'paprika': '0.25 teaspoon '}",105,Minutes,6300,,,,,,,4,5,1,Main Dish,http://yummly.com/recipe/Mexican-King-Ranch-Chicken-Casserole-2487847,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,1,-1,15,-1,13,-1,-1,-1,7,-1,-1,-1,-1,12,-1,-1,-1,-1,"['corn tortillas', 'onion', 'cream of chicken soup', 'cheddar cheese', 'chicken', 'chili powder', 'cayenne pepper', 'cream of mushroom soup', 'diced tomato', 'green bell pepper']",10,"[7, 13, 15, 4, 3, 6]"
